DEPT,GR,RT,RHO,NPHI
4348.429660000001,55.8259,1.4492,2.1801,0.34
4348.68434,53.6975,1.4485,2.1788,0.31
4348.939000000001,50.857,1.414,2.1737,0.29
4349.19364,45.9976,1.4069,2.1644,0.27
4349.44826,36.7027,1.3797,2.1557,0.26
4349.70286,30.591,1.367,2.1579,0.26
4349.957440000001,30.9496,1.3623,2.1679,0.26
4350.212,35.5446,1.3457,2.1808,0.26
4350.46654,40.5159,1.3294,2.1801,0.28
4350.721060000001,45.2031,1.3288,2.1741,0.3
4350.97556,47.3862,1.3282,2.1664,0.3
4351.23004,45.6269,1.3276,2.1681,0.28
4351.4845000000005,40.4439,1.327,2.1688,0.26
4351.73894,34.8687,1.3159,2.1617,0.24
4351.99336,30.4235,1.3239,2.1501,0.23
4352.247760000001,29.174,1.3025,2.1361,0.24
4352.5021400000005,27.5935,1.2942,2.1291,0.25
4352.7565,27.59,1.2938,2.1275,0.26
4353.01084,27.9783,1.2783,2.1322,0.27
4353.265160000001,27.3135,1.2779,2.1467,0.27
4353.51946,26.0117,1.2775,2.1631,0.27
4353.77374,26.3202,1.2771,2.1728,0.27
4354.028000000001,28.1956,1.2767,2.1766,0.26
4354.2822400000005,30.2537,1.2764,2.1697,0.25
4354.53646,29.4336,1.276,2.1529,0.24
4354.790660000001,27.8629,1.2757,2.1504,0.24
4355.0448400000005,26.465,1.2753,2.1642,0.24
4355.299,25.2044,1.2749,2.1874,0.24
4355.55314,24.3053,1.2746,2.193,0.24
4355.8072600000005,24.8022,1.2742,2.1838,0.24
4356.061360000001,25.1906,1.2663,2.1686,0.24
4356.31544,24.1965,1.2583,2.1574,0.25
4356.5695000000005,22.8295,1.258,2.1515,0.25
4356.82354,22.724,1.2428,2.1515,0.25
4357.077560000001,24.1264,1.2423,2.1502,0.25
4357.3315600000005,24.7795,1.2271,2.152,0.25
4357.585540000001,24.7757,1.2266,2.1565,0.25
4357.8395,23.5946,1.226,2.163,0.26
4358.093440000001,24.267,1.2255,2.1642,0.26
4358.347360000001,24.8875,1.2192,2.1618,0.25
4358.60126,26.2902,1.2244,2.1514,0.24
4358.855140000001,27.5044,1.2239,2.137,0.23
4359.109,30.8088,1.2234,2.1122,0.23
4359.362840000001,34.4822,1.2169,2.0988,0.24
4359.616660000001,37.3722,1.2116,2.0945,0.26
4359.870460000001,39.1661,1.2074,2.1021,0.28
4360.12424,39.2628,1.2069,2.1155,0.3
4360.378,38.8115,1.2124,2.1337,0.3
4360.631740000001,38.3599,1.2203,2.1407,0.29
4360.88546,39.5325,1.2343,2.1457,0.27
4361.13916,41.6687,1.2468,2.1451,0.26
4361.3928399999995,42.9091,1.2685,2.1364,0.26
4361.646500000001,42.4589,1.2928,2.1219,0.28
4361.900140000001,42.5961,1.3246,2.122,0.3
4362.15376,44.6124,1.3672,2.1473,0.3
4362.40736,47.5079,1.3886,2.183,0.28
4362.660940000001,50.4033,1.4359,2.2059,0.27
4362.9145,55.3074,1.4652,2.2112,0.27
4363.1680400000005,60.2239,1.4877,2.21,0.3
4363.421560000001,65.1139,1.5194,2.2137,0.33
4363.6750600000005,71.1512,1.54,2.2184,0.31
4363.92854,79.8933,1.5609,2.2134,0.29
4364.182000000001,88.8803,1.5764,2.186,0.28
4364.43544,98.2677,1.6025,2.1561,0.3
4364.68886,103.3006,1.6324,2.129,0.34
4364.942260000001,106.9184,1.6549,2.1228,0.35
4365.195640000001,107.4155,1.6695,2.1362,0.35
4365.449,103.7122,1.6653,2.1696,0.34
4365.702340000001,98.5149,1.6891,2.2017,0.34
4365.9556600000005,94.8431,1.7087,2.2147,0.33
4366.20896,94.7707,1.7169,2.2117,0.33
4366.46224,98.074,1.7384,2.1993,0.35
4366.7155,104.8764,1.7479,2.1646,0.37
4366.96874,105.5736,1.7682,2.1475,0.37
4367.22196,104.2354,1.7888,2.1402,0.37
4367.475160000001,104.3205,1.8023,2.1601,0.37
4367.728340000001,107.9605,1.8088,2.1913,0.37
4367.9815,110.897,1.8298,2.2087,0.37
4368.234640000001,111.6222,1.8399,2.2133,0.38
4368.487760000001,111.4005,1.8541,2.2168,0.4
4368.74086,108.4669,1.8708,2.2229,0.43
4368.993940000001,104.8483,1.8688,2.2277,0.42
4369.247,103.2558,1.8606,2.2269,0.41
4369.50004,103.606,1.8524,2.2214,0.4
4369.75306,103.4365,1.8467,2.2191,0.41
4370.006060000001,103.1098,1.846,2.228,0.42
4370.25904,104.4992,1.8233,2.2424,0.41
4370.512,105.4688,1.8153,2.2345,0.39
4370.764940000001,102.192,1.7789,2.1984,0.4
4371.017860000001,90.727,1.7658,2.1668,0.41
4371.27076,75.414,1.7511,2.1559,0.39
4371.52364,60.3611,1.7038,2.1519,0.35
4371.776500000001,46.8091,1.6531,2.152,0.31
4372.02934,38.3807,1.5985,2.1531,0.27
4372.28216,32.3845,1.5315,2.153,0.26
4372.534960000001,27.8001,1.4815,2.1497,0.26
4372.787740000001,24.417,1.4285,2.1393,0.26
4373.0405,23.8321,1.3866,2.1293,0.26
4373.293240000001,25.8398,1.3482,2.1239,0.26
4373.54596,29.3608,1.3247,2.1239,0.25
4373.79866,32.5911,1.2861,2.1239,0.26
4374.051340000001,34.472,1.2593,2.1223,0.27
4374.304000000001,34.6926,1.233,2.1152,0.27
4374.55664,33.9246,1.2162,2.1061,0.28
4374.80926,33.5468,1.1818,2.0999,0.28
4375.061860000001,32.7624,1.1675,2.0916,0.28
4375.31444,31.468,1.1533,2.0862,0.27
4375.567,29.9484,1.129,2.0827,0.27
4375.81954,30.2873,1.1122,2.0809,0.28
4376.07206,32.8437,1.0988,2.0806,0.28
4376.32456,36.3993,1.0855,2.0805,0.29
4376.577040000001,38.3347,1.0807,2.0817,0.3
4376.829500000001,39.3353,1.0716,2.0794,0.3
4377.08194,39.943,1.0625,2.0746,0.31
4377.33436,41.7274,1.0589,2.0697,0.3
4377.586760000001,44.3274,1.056,2.0663,0.3
4377.83914,46.6196,1.0459,2.0601,0.3
4378.0914999999995,47.867,1.0457,2.0509,0.31
4378.3438400000005,47.3871,1.0526,2.0448,0.32
4378.59616,45.9769,1.0577,2.05,0.32
4378.84846,44.6683,1.0575,2.0611,0.32
4379.100740000001,43.1582,1.0695,2.0727,0.31
4379.353,42.5999,1.0611,2.0741,0.3
4379.60524,42.5981,1.0568,2.0687,0.29
4379.857460000001,44.2632,1.0566,2.0565,0.29
4380.109660000001,45.1233,1.0564,2.0528,0.29
4380.3618400000005,45.8682,1.0562,2.054,0.29
4380.6140000000005,47.1242,1.056,2.0535,0.29
4380.866140000001,48.0643,1.0557,2.0519,0.29
4381.11826,48.6601,1.0681,2.0514,0.3
4381.37036,48.9544,1.0679,2.0515,0.31
4381.622440000001,49.2488,1.0676,2.0538,0.32
4381.874500000001,51.0591,1.0801,2.0528,0.32
4382.12654,55.1448,1.0928,2.0541,0.32
4382.378560000001,59.8957,1.1056,2.0575,0.3
4382.6305600000005,62.6807,1.1319,2.0653,0.29
4382.8825400000005,63.4721,1.1442,2.0794,0.29
4383.1345,64.0856,1.1631,2.0929,0.3
4383.386440000001,66.558,1.1861,2.1021,0.32
4383.63836,70.2283,1.1922,2.1031,0.33
4383.89026,78.6669,1.2153,2.1005,0.35
4384.142140000001,83.7569,1.2276,2.0999,0.36
4384.394,85.804,1.2425,2.0992,0.36
4384.64584,86.0443,1.2528,2.0993,0.34
4384.8976600000005,86.967,1.271,2.0956,0.33
4385.1494600000005,87.3533,1.2826,2.0883,0.33
4385.40124,87.8488,1.3016,2.082,0.33
4385.653,89.0249,1.3012,2.0846,0.34
4385.904740000001,89.7191,1.315,2.0923,0.35
4386.15646,87.1865,1.3178,2.0992,0.36
4386.40816,83.8279,1.3298,2.0961,0.35
4386.659840000001,80.7481,1.3462,2.089,0.34
4386.9115,77.5032,1.3467,2.0851,0.33
4387.16314,74.1391,1.3624,2.0919,0.32
4387.414760000001,71.7039,1.3657,2.0997,0.32
4387.66636,74.2166,1.3779,2.1009,0.32
4387.91794,79.5415,1.394,2.1012,0.33
4388.1695,84.6431,1.4102,2.1044,0.34
4388.42104,87.5059,1.4174,2.1083,0.33
4388.67256,87.0858,1.4353,2.1137,0.33
4388.92406,86.9227,1.4593,2.1279,0.33
4389.175540000001,89.9283,1.4692,2.1421,0.34
4389.427000000001,94.8328,1.493,2.1627,0.33
4389.678440000001,97.4247,1.5196,2.1753,0.32
4389.929860000001,99.7601,1.5276,2.1798,0.32
4390.18126,100.1459,1.5637,2.1808,0.34
4390.43264,99.3621,1.5876,2.1873,0.37
4390.684000000001,98.1581,1.6078,2.1966,0.39
4390.935340000001,98.1846,1.6185,2.1909,0.38
4391.18666,100.6589,1.6373,2.1718,0.36
4391.43796,103.1855,1.6562,2.1607,0.34
4391.689240000001,105.3826,1.6652,2.1727,0.35
4391.940500000001,108.3263,1.6873,2.1857,0.36
4392.19174,110.1075,1.6943,2.1871,0.36
4392.442960000001,110.2443,1.714,2.177,0.35
4392.69416,111.019,1.7134,2.1643,0.35
4392.94534,111.6282,1.7351,2.1505,0.34
4393.196500000001,108.6207,1.7502,2.1498,0.34
4393.44764,104.879,1.7536,2.1565,0.33
4393.69876,102.2886,1.7606,2.1732,0.32
4393.94986,102.7895,1.7747,2.1816,0.31
4394.200940000001,105.3443,1.796,2.184,0.31
4394.452,111.0172,1.796,2.1869,0.3
4394.70304,114.1786,1.8176,2.2012,0.3
4394.954060000001,114.0054,1.8176,2.2286,0.31
